file,caption,md5,referenced in
Vimentin_AF647/Human_Kidney_Hoechst_Vimentin.jpg,"Human kidney: Hoechst (blue, catalog number 40046) and Vimentin (magenta, catalog number 677807)",7c181c93899e2df3953126569df19b85,"['Vimentin_AF647/0000-0003-4379-8967.md', 'Hoechst_33342_NA/0000-0003-4379-8967.md']"
CD68_BV421/Mouse_Thymus_CD68_MHCII.jpg,"Mouse thymus: CD68 (cyan, catalog number 137017) and MHCII (red, catalog number 107622)",357381d91f7b8d2e90ca08371a2680ea,"['CD68_BV421/0000-0003-4379-8967.md', 'MHC-II_AF700/0000-0003-4379-8967.md']"
Glycophorin_A_AF555/Spleen_Glycophorin_AF555_Abcam_ab218372_HLADR_iF594_CapricoBio_1032136.jpeg,"Human spleen: HLA-DR (magenta, catalog number 1032136) and Glycophorin A (cyan, based on catalog number ab218372)",07102c25bc4ba8fd00108ed867368ae4,"['Glycophorin_A_AF555/0000-0002-3882-457X.md', 'HLA-DR_iF594/0000-0003-4379-8967.md']"
Tubulin_beta-3_chain_AF488/Tubulin_beta-3_chain_AF488_BioLegend_801203.jpg,"Human retina: Tubulin_beta-3_chain (green, catalog number 801203) and Hoechst (blue, catalog number 40046)",b9cb86be303a238457d8b3e2ff5e6a84,['Tubulin_beta-3_chain_AF488/0000-0003-2088-8310.md']
Tubulin_beta-3_chain_AF488/Human_Jejunum_BTub3_CD138.jpg,"Human jejunum: Beta-tubulin 3 (yellow, catalog number 801203) and CD138 (purple, catalog number 356504)",288f082b68fb6c0d989fa2064a4a4fdd,"['Tubulin_beta-3_chain_AF488/0000-0003-4379-8967.md', 'CD138_PE/0000-0003-4379-8967.md']"
CD3_AF594/Mouse_Thymus_CD3.jpg,Mouse thymus: CD3 (catalog number 100240),df67a0cfa8dbe1a0a5eb099d18bd0dfa,['CD3_AF594/0000-0003-4379-8967.md']
CD3_AF594/Mouse_Lymph_Node_CD3_MHCII.jpg,"Mouse lymph node: CD3 (cyan, catalog number 100240) and MHCII (blue, catalog number 107631)",5cc153f15cc7bdd7fd4a04b7b16d155c,"['CD3_AF594/0000-0003-4379-8967.md', 'MHC-II_BV421/0000-0003-4379-8967.md']"
CD3_AF594/Human_LN_CD3_DC-SIGN.jpg,"Human lymph node: CD3 (purple, catalog number 300446) and DC-SIGN (cyan, catalog number 330112)",e0fa987a6704977793ae0ec9d2dd35c8,"['DC-SIGN_AF647/0000-0003-4379-8967.md', 'CD3_AF594/0000-0003-4379-8967.md']"
Opsin_Red_Green_Unconjugated/Opsin_Red_Unconjugated_MilliporeSigma_AB5405.jpg,"Human retina: Opsin Red (red, catalog number AB5405) and Hoechst (blue, catalog number 40046)",baa7b9f90f1cc48018e58da35d081e17,['Opsin_Red_Green_Unconjugated/0000-0003-2088-8310.md']
CD45_AF647/Mouse_Lymph_Node_CD45.jpg,Mouse lymph node: CD45 (catalog number 103124),76bdcb2ee411ea8e7666b051e91b74a3,['CD45_AF647/0000-0003-4379-8967.md']
CD117_AF488/Human_LN_CD117_CD39_CD94.jpg,"Human lymph node: CD117 (cyan, catalog number 313234), CD39 (blue, catalog number 328208), and CD94 (magenta, catalog number 305506)",5674d6250aff920b04ba73b3ce8d00c1,"['CD117_AF488/0000-0003-4379-8967.md', 'CD39_PE/0000-0003-4379-8967.md']"
CD49a_AF647/Human_Spleen_CD49a_CD44.jpg,"Human spleen: CD49a (cyan, catalog number 328310) and CD44 (red, catalog number 103018)",f73f799fccbc857797e7562cb9332bb5,"['CD49a_AF647/0000-0003-4379-8967.md', 'CD44_AF647/0000-0003-4379-8967.md']"
